nom;adresse;categorie;dechets;source
Cimetière;6, Route du Vivier. 86490 Colombiers;Verre et papier;papier, verre;Grand Châtellerault
CTM Colombiers;6, Route du Vivier. 86490 Colombiers;Emballages, ordures et papier;emballages, ordures ménagères, papier;Grand Châtellerault
L'Ane Vert;Route de Marigny. 86490 Colombiers;Verre et papier;papier, verre;Grand Châtellerault
La Bougrière;8, Route de la Bougrière. 86490 Colombiers;Verre et papier;papier, verre;Grand Châtellerault
La Bouillerie;La Guédonnière. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
La Fuie;Rue de la Fuie. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
Les Vigneaux;45, Lieu-dit la Davaillerie. 86490 Colombiers;Verre et papier;papier, verre;Grand Châtellerault
Place mairie;Place Manderen. 86490 Colombiers;Textile;textile;Grand Châtellerault
Route de la Roche;Route de la Roche. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
Route des Pallus;Route des Pallus. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
Salle des Fêtes;2, Rue de la Perroterie. 86490 Colombiers;Verre;verre;Grand Châtellerault
Tour Savary Nord;68, Route de Marygny. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
Tour Savary Sud;La Tour Savary. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;Grand Châtellerault
