nom;adresse;categorie;dechets;latitude;longitude;source
Cimetière;6, Route du Vivier. 86490 Colombiers;Verre et papier;papier, verre;46,774204;0,425784;Grand Châtellerault
CTM Colombiers;6, Route du Vivier. 86490 Colombiers;Emballages, ordures et papier;emballages, ordures ménagères, papier;46,774085;0,424771;Grand Châtellerault
L'Ane Vert;Route de Marigny. 86490 Colombiers;Verre et papier;papier, verre;46,757695;0,397117;Grand Châtellerault
La Bougrière;8, Route de la Bougrière. 86490 Colombiers;Verre et papier;papier, verre;46,794811;0,449463;Grand Châtellerault
La Bouillerie;La Guédonnière. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,775985;0,441956;Grand Châtellerault
La Fuie;Rue de la Fuie. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,769335;0,422015;Grand Châtellerault
Les Vigneaux;45, Lieu-dit la Davaillerie. 86490 Colombiers;Verre et papier;papier, verre;46,769777;0,450123;Grand Châtellerault
Place mairie;Place Manderen. 86490 Colombiers;Textile;textile;46,772149;0,426713;Grand Châtellerault
Route de la Roche;Route de la Roche. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,769684;0,454273;Grand Châtellerault
Route des Pallus;Route des Pallus. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,77438;0,468906;Grand Châtellerault
Salle des Fêtes;2, Rue de la Perroterie. 86490 Colombiers;Verre;verre;46,771825;0,425173;Grand Châtellerault
Tour Savary Nord;68, Route de Marygny. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,762111;0,406835;Grand Châtellerault
Tour Savary Sud;La Tour Savary. 86490 Colombiers;Emballages et ordures ménagères;emballages, ordures ménagères;46,761044;0,403851;Grand Châtellerault
